restaurant_name,cuisines,avg_cost_for_two,has_table_booking,has_online_delivery,price_range,rating,votes
On The Rocks - The  Atrium,Finger Food,1400,True,False,3,3.1,18
World Cafe - Vibe by The LaLiT Traveller,Multicuisine,1900,True,False,3,3.3,56
Chaudhary Ke Mashhoor Paranthe,North Indian,150,False,False,1,2.8,14
Thakur Bakers,Cafe,150,False,False,1,3.0,6
FoodByMom,North Indian,300,False,True,1,3.6,161
Mr. Brown,Fast Food,500,False,True,2,3.9,52
9 Mars Lounge,Multicuisine,2500,True,False,4,2.5,184
Barista,Cafe,650,False,True,2,3.4,33
Baskin Robbins,Ice Cream,300,False,True,1,3.3,27
Burger King,Fast Food,500,False,True,2,3.4,327
Cafe Coffee Day,Cafe,450,False,False,1,3.2,63
Chinese X'Press,Chinese,600,False,False,2,2.9,16
Cinch,Multicuisine,1500,True,False,3,2.6,92
Costa Coffee,Cafe,600,False,False,2,3.3,60
Domino's Pizza,Fast Food,700,False,False,2,3.2,17
Dosa X'press,South Indian,500,False,False,2,3.0,6
Kebab Xpress,North Indian,600,False,False,2,2.7,14
Let's Noodle,Chinese,700,False,True,2,2.6,181
McDonald's,Fast Food,500,False,True,2,3.3,150
Mx Corn,Fast Food,100,False,False,1,3.1,7
Dunkin' Donuts,Fast Food,600,False,True,2,3.6,252
Haldiram's,Fast Food,600,False,False,2,3.6,187
Pind Balluchi,North Indian,1000,True,True,3,1.8,322
Maini Restaurant,Fast Food,400,False,False,1,3.3,114
The Dosa King,Multicuisine,550,False,True,2,3.2,80
K Lab,Multicuisine,350,False,False,1,3.4,16
Pind Balluchi,North Indian,800,True,True,2,2.7,80
Punjab Grill,North Indian,2000,True,True,4,4.3,1887
Zambar,Multicuisine,1400,True,True,3,4.0,802
Cakes & More,Cafe,250,False,False,1,3.0,4
Kwality Wall's Swirl's,Ice Cream,200,False,False,1,3.0,5
Yo! Dimsum,Chinese,200,False,False,1,3.0,10
Red,Multicuisine,1200,False,True,3,3.0,57
Rocketchefs,Multicuisine,500,False,True,2,3.1,4
The Fresh Chicken Store,Fast Food,350,False,False,1,2.9,4
Club Tokyo - Best Western Skycity Hotel,Asian,1500,True,False,3,2.8,13
Lattitude - Skycity Hotel,Multicuisine,2500,True,False,4,2.9,15
Bisque Bakery,Fast Food,500,False,True,2,3.9,415
Behrouz Biryani,Biryani,600,False,True,2,3.4,36
Domino's Pizza,Fast Food,700,False,False,2,3.4,104
Giani,Multicuisine,400,False,True,1,3.4,70
PizzaVito,Multicuisine,900,True,True,2,3.3,218
Shawarma House,Middle Eastern,500,False,True,2,3.4,225
Subway,Fast Food,500,False,True,2,2.5,150
Asian Bistro,Multicuisine,1600,True,True,3,3.8,184
BBQ Factory,North Indian,1400,True,True,3,3.9,146
Faaso's,Fast Food,600,False,True,2,3.6,33
Chaayos,Multicuisine,400,False,True,1,4.3,48
Mosaic - Country Inn & Suites,Multicuisine,1500,True,False,3,3.8,91
60 ML - Country Inn & Suites by Carlson,Finger Food,1000,True,False,3,3.0,7
Mosaic - Country Inn & Suites by Carlson,Multicuisine,1800,True,False,3,3.5,37
Big Shot Bar - Country Inn & Suites,Multicuisine,2200,True,False,4,3.5,32
Mosaic - Country Inn & Suites By Carlson,Multicuisine,1300,True,False,3,3.4,19
Downtown Kitchen & Bar - Courtyard by Marriott,Multicuisine,2700,False,False,4,3.2,6
Di Ghent Boulangerie,Multicuisine,1700,False,False,3,3.9,231
Khyen Chyen,North Indian,800,True,True,2,3.7,364
The Pint Room,Multicuisine,1700,True,False,3,3.7,127
Tughlaq,Multicuisine,1000,False,True,3,3.5,351
Big Wong XL,Multicuisine,1500,True,True,3,4.0,162
Bunker,Multicuisine,1300,True,False,3,4.2,248
Culture Cafe,Multicuisine,1500,True,True,3,4.2,144
